South Africa,Mexico,2018,Export,Minerals,77600.33,27.25,37.15,23.1,50.99
South Africa,Mali,2018,Export,Minerals,39.76,0.05,,,
South Africa,Myanmar,2018,Export,Minerals,3.99,0.07,0.53,-3.56,-33.27
South Africa,Northern Mariana Islands,2018,Export,Minerals,59.37,100,,,
South Africa,Montenegro,2018,Export,Minerals,34.6,5.89,1.49,14.91,68.28
South Africa,Mozambique,2018,Export,Minerals,916454.23,28.73,0.98,3.46,20.97
South Africa,Mauritania,2018,Export,Minerals,0.01,0,,,
South Africa,Mauritius,2018,Export,Minerals,2846.18,0.62,0.15,4.23,-6.96
South Africa,Malawi,2018,Export,Minerals,858.57,0.19,,,
South Africa,Malaysia,2018,Export,Minerals,164325.27,25.19,22.61,11.78,12.7
South Africa,Namibia,2018,Export,Minerals,5884.54,0.17,0.07,-18.93,0.13
South Africa,New Caledonia,2018,Export,Minerals,28.35,5.07,,,
South Africa,Nigeria,2018,Export,Minerals,318.35,0.07,0.1,-49.09,-37.39
South Africa,Netherlands,2018,Export,Minerals,534700.3,17.2,6.99,6.39,-8.01
South Africa,Norway,2018,Export,Minerals,130988.32,67.56,30.64,3.66,12.4
South Africa,New Zealand,2018,Export,Minerals,610.65,0.64,12.69,7.68,-24.07
South Africa,"Other Asia, nes",2018,Export,Minerals,73043.35,9.3,6.25,-0.18,-0.72
South Africa,Oman,2018,Export,Minerals,1744.34,3.58,0.01,-15.68,140.35
South Africa,Pakistan,2018,Export,Minerals,278.89,0.03,0.08,-3.54,7.43
South Africa,Panama,2018,Export,Minerals,17.15,0.02,,,
South Africa,Peru,2018,Export,Minerals,1477.76,4.33,8.07,13.45,17.5
South Africa,Philippines,2018,Export,Minerals,1095.53,1.66,0.37,-20.64,2
South Africa,Papua New Guinea,2018,Export,Minerals,58.48,0.33,,,
South Africa,Poland,2018,Export,Minerals,29687.56,15.72,17.25,3.33,8.11
South Africa,Portugal,2018,Export,Minerals,493.31,0.25,0.73,12.7,51.44
South Africa,Paraguay,2018,Export,Minerals,0.01,0,,,
South Africa,Qatar,2018,Export,Minerals,105.64,0.14,0.02,-12.43,-96.39
South Africa,Romania,2018,Export,Minerals,22155.66,36.82,,,
South Africa,Russian Federation,2018,Export,Minerals,130711.69,32.41,26.96,6.39,27.51
South Africa,Rwanda,2018,Export,Minerals,0.86,0,,,
South Africa,Saudi Arabia,2018,Export,Minerals,76962.01,19.76,11.24,-0.36,4.91
South Africa,Senegal,2018,Export,Minerals,24.56,0.02,0,,
South Africa,"Serbia, FR(Serbia/Montenegro)",2018,Export,Minerals,5.28,0.19,21.5,3.74,82.55
South Africa,Singapore,2018,Export,Minerals,65262.55,13.6,0.46,4.34,4.33
South Africa,Saint Helena,2018,Export,Minerals,150.63,1.61,,,
South Africa,Sierra Leone,2018,Export,Minerals,15.79,0.03,,,
South Africa,Special Categories,2018,Export,Minerals,773.13,0.19,,,
South Africa,Sudan,2018,Export,Minerals,15.97,0.04,,,
South Africa,Slovak Republic,2018,Export,Minerals,104.2,7.43,3.55,6.26,31.99
South Africa,Slovenia,2018,Export,Minerals,50407.09,58.81,5.56,3.52,8.16
South Africa,Sweden,2018,Export,Minerals,2000.1,1.07,1.57,6.45,51.6
South Africa,Eswatini,2018,Export,Minerals,27781.22,2.03,,,
South Africa,Seychelles,2018,Export,Minerals,510.74,0.77,0.13,23.98,-4.86
South Africa,Syrian Arab Republic,2018,Export,Minerals,8.87,0.37,,,
South Africa,Togo,2018,Export,Minerals,38.79,0.06,,,
South Africa,Thailand,2018,Export,Minerals,16061.7,2.73,4.8,12.92,9.87
South Africa,Trinidad and Tobago,2018,Export,Minerals,47.5,0.44,,,
South Africa,Turkey,2018,Export,Minerals,102405.32,20.15,11.77,6.89,2.9
South Africa,Tanzania,2018,Export,Minerals,363.28,0.08,0.13,12.91,-11.77
South Africa,Uganda,2018,Export,Minerals,164.93,0.1,0.01,7.48,-18.61
South Africa,Ukraine,2018,Export,Minerals,59984.13,74.39,18.93,-0.65,-20.07
South Africa,Unspecified,2018,Export,Minerals,255.03,0,,,
South Africa,Uruguay,2018,Export,Minerals,3.67,0.02,0.45,5.69,47.96
South Africa,United States,2018,Export,Minerals,509163.56,8.01,19.61,7.4,18.96
South Africa,Venezuela,2018,Export,Minerals,148.37,1.81,,,
South Africa,Vietnam,2018,Export,Minerals,26323.8,7.91,,,
South Africa,"Congo, Dem. Rep.",2018,Export,Minerals,51507.46,4.03,,,
South Africa,Zambia,2018,Export,Minerals,70775.64,2.92,0.36,11.84,21.3
South Africa,Zimbabwe,2018,Export,Minerals,7598.75,0.33,0.73,5.01,-14.24
